producto|categoria|cantidad|precio|total|medio_pago|fecha_venta|ciudad|fecha_alta_cli|mes|cuatrimestre|anio_cuatrimestre
QUESO RALLADO 150G|1|4|3444|13776|3|2024-01-06|4|2023-03-07|2024-01|1|2024-C1
VINO BLANCO 750ML|1|5|2684|13420|3|2024-01-06|4|2023-03-07|2024-01|1|2024-C1
CERVEZA RUBIA 1L|1|4|2423|9692|0|2024-01-20|5|2023-03-27|2024-01|1|2024-C1
DULCE DE LECHE 400G|1|2|2559|5118|2|2024-05-28|1|2023-02-21|2024-05|2|2024-C2
TRAPO DE PISO|0|4|4854|19416|2|2024-05-28|1|2023-02-21|2024-05|2|2024-C2
MERMELADA DE DURAZNO 400G|1|3|3196|9588|2|2024-05-28|1|2023-02-21|2024-05|2|2024-C2
STEVIA 100 SOBRES|1|1|3848|3848|2|2024-05-28|1|2023-02-21|2024-05|2|2024-C2
TÉ VERDE 20 SAQUITOS|1|1|2383|2383|2|2024-04-10|1|2023-01-20|2024-04|1|2024-C1
CERVEZA RUBIA 1L|1|2|2423|4846|2|2024-04-10|1|2023-01-20|2024-04|1|2024-C1
PAPAS FRITAS CLÁSICAS 100G|1|1|936|936|2|2024-04-10|1|2023-01-20|2024-04|1|2024-C1
RON 700ML|1|2|3876|7752|0|2024-06-28|5|2023-04-06|2024-06|2|2024-C2
AZÚCAR 1KG|1|2|727|1454|0|2024-06-28|5|2023-04-06|2024-06|2|2024-C2
PAPEL HIGIÉNICO X4|0|3|2532|7596|0|2024-06-28|5|2023-04-06|2024-06|2|2024-C2
SOPA INSTANTÁNEA POLLO|1|3|1679|5037|0|2024-06-28|5|2023-04-06|2024-06|2|2024-C2
MERMELADA DE FRUTILLA 400G|1|4|1584|6336|0|2024-06-28|5|2023-04-06|2024-06|2|2024-C2
SOPA INSTANTÁNEA POLLO|1|1|1679|1679|1|2024-01-24|4|2023-01-06|2024-01|1|2024-C1
ACEITUNAS VERDES 200G|1|3|2520|7560|1|2024-01-24|4|2023-01-06|2024-01|1|2024-C1
TÉ VERDE 20 SAQUITOS|1|1|2383|2383|1|2024-01-24|4|2023-01-06|2024-01|1|2024-C1
DULCE DE LECHE 400G|1|4|2559|10236|2|2024-04-18|3|2023-03-08|2024-04|1|2024-C1
RON 700ML|1|5|3876|19380|2|2024-04-18|3|2023-03-08|2024-04|1|2024-C1
MERMELADA DE FRUTILLA 400G|1|3|1584|4752|2|2024-04-18|3|2023-03-08|2024-04|1|2024-C1
LIMPIAVIDRIOS 500ML|0|1|872|872|2|2024-04-18|3|2023-03-08|2024-04|1|2024-C1
MERMELADA DE DURAZNO 400G|1|3|3196|9588|3|2024-06-27|1|2023-02-25|2024-06|2|2024-C2
ACEITUNAS VERDES 200G|1|5|2520|12600|0|2024-02-17|4|2023-03-29|2024-02|1|2024-C1
LENTEJAS SECAS 500G|1|5|3036|15180|0|2024-02-17|4|2023-03-29|2024-02|1|2024-C1
WHISKY 750ML|1|3|2953|8859|0|2024-02-17|4|2023-03-29|2024-02|1|2024-C1
CHOCOLATE CON LECHE 100G|1|2|1255|2510|2|2024-06-11|0|2023-03-22|2024-06|2|2024-C2
FANTA NARANJA 1.5L|1|5|2033|10165|2|2024-06-11|0|2023-03-22|2024-06|2|2024-C2
GALLETITAS CHOCOLATE|1|2|1305|2610|2|2024-06-11|0|2023-03-22|2024-06|2|2024-C2
LECHE DESCREMADA 1L|1|3|2538|7614|2|2024-06-11|0|2023-03-22|2024-06|2|2024-C2
MEDIALUNAS DE MANTECA|1|5|2069|10345|2|2024-06-11|0|2023-03-22|2024-06|2|2024-C2
MERMELADA DE FRUTILLA 400G|1|2|1584|3168|0|2024-06-11|2|2023-03-21|2024-06|2|2024-C2
DESENGRASANTE 500ML|0|3|2843|8529|0|2024-06-11|2|2023-03-21|2024-06|2|2024-C2
GRANOLA 250G|1|3|4337|13011|0|2024-06-11|2|2023-03-21|2024-06|2|2024-C2
CHOCOLATE AMARGO 100G|1|3|2234|6702|1|2024-01-13|1|2023-03-16|2024-01|1|2024-C1
BARRITA DE CEREAL 30G|1|1|4430|4430|3|2024-06-19|5|2023-01-10|2024-06|2|2024-C2
YERBA MATE SUAVE 1KG|1|2|3878|7756|3|2024-05-08|4|2023-03-05|2024-05|2|2024-C2
PAPAS FRITAS CLÁSICAS 100G|1|3|936|2808|3|2024-05-08|4|2023-03-05|2024-05|2|2024-C2
GALLETITAS CHOCOLATE|1|4|1305|5220|3|2024-05-08|4|2023-03-05|2024-05|2|2024-C2
AVENA INSTANTÁNEA 250G|1|4|3953|15812|3|2024-05-16|4|2023-03-19|2024-05|2|2024-C2
QUESO UNTABLE 190G|1|4|1830|7320|3|2024-05-16|4|2023-03-19|2024-05|2|2024-C2
DESODORANTE AEROSOL|0|2|4690|9380|1|2024-06-14|2|2023-02-24|2024-06|2|2024-C2
HELADO CHOCOLATE 1L|1|5|1215|6075|1|2024-06-14|2|2023-02-24|2024-06|2|2024-C2
SHAMPOO 400ML|0|1|1407|1407|3|2024-04-30|0|2023-01-13|2024-04|1|2024-C1
MASCARILLA CAPILAR|0|5|1581|7905|3|2024-04-30|0|2023-01-13|2024-04|1|2024-C1
RON 700ML|1|1|3876|3876|3|2024-04-30|0|2023-01-13|2024-04|1|2024-C1
HAMBURGUESAS CONGELADAS X4|1|2|2420|4840|0|2024-01-23|1|2023-02-18|2024-01|1|2024-C1
JUGO EN POLVO LIMÓN|1|1|4090|4090|0|2024-01-23|1|2023-02-18|2024-01|1|2024-C1
JUGO DE MANZANA 1L|1|4|3269|13076|3|2024-02-25|0|2023-01-09|2024-02|1|2024-C1
VERDURAS CONGELADAS MIX|1|4|4289|17156|3|2024-02-25|0|2023-01-09|2024-02|1|2024-C1
WHISKY 750ML|1|1|2953|2953|2|2024-05-20|1|2023-02-21|2024-05|2|2024-C2
DESODORANTE AEROSOL|0|2|4690|9380|2|2024-05-20|1|2023-02-21|2024-05|2|2024-C2
RON 700ML|1|1|3876|3876|2|2024-05-20|1|2023-02-21|2024-05|2|2024-C2
QUESO RALLADO 150G|1|2|3444|6888|2|2024-05-20|1|2023-02-21|2024-05|2|2024-C2
ALFAJOR SIMPLE|1|5|2502|12510|2|2024-05-20|1|2023-02-21|2024-05|2|2024-C2
CARAMELOS MASTICABLES|1|1|4752|4752|2|2024-02-20|1|2023-02-18|2024-02|1|2024-C1
DULCE DE LECHE 400G|1|2|2559|5118|2|2024-02-20|1|2023-02-18|2024-02|1|2024-C1
VODKA 700ML|1|4|508|2032|2|2024-02-20|1|2023-02-18|2024-02|1|2024-C1
ALFAJOR SIMPLE|1|2|2502|5004|2|2024-02-20|1|2023-02-18|2024-02|1|2024-C1
CERVEZA NEGRA 1L|1|1|1533|1533|2|2024-02-20|1|2023-02-18|2024-02|1|2024-C1
HARINA DE TRIGO 1KG|1|4|2512|10048|0|2024-03-03|3|2023-04-03|2024-03|1|2024-C1
VERDURAS CONGELADAS MIX|1|3|4289|12867|0|2024-03-03|3|2023-04-03|2024-03|1|2024-C1
ACEITUNAS NEGRAS 200G|1|4|2394|9576|0|2024-03-03|3|2023-04-03|2024-03|1|2024-C1
JUGO DE MANZANA 1L|1|1|3269|3269|0|2024-03-03|3|2023-04-03|2024-03|1|2024-C1
CREMA DENTAL 90G|0|4|2512|10048|1|2024-05-22|2|2023-01-19|2024-05|2|2024-C2
TOALLAS HÚMEDAS X50|0|3|2902|8706|1|2024-05-22|2|2023-01-19|2024-05|2|2024-C2
QUESO AZUL 150G|1|5|1645|8225|1|2024-05-22|2|2023-01-19|2024-05|2|2024-C2
RON 700ML|1|5|3876|19380|0|2024-01-30|4|2023-01-31|2024-01|1|2024-C1
LAVANDINA 1L|0|4|1664|6656|0|2024-01-30|4|2023-01-31|2024-01|1|2024-C1
QUESO CREMOSO 500G|1|3|4834|14502|0|2024-01-30|4|2023-01-31|2024-01|1|2024-C1
BARRITA DE CEREAL 30G|1|3|4430|13290|0|2024-01-30|4|2023-01-31|2024-01|1|2024-C1
GARBANZOS 500G|1|2|2939|5878|0|2024-02-13|4|2023-01-06|2024-02|1|2024-C1
PIZZA CONGELADA MUZZARELLA|1|4|4286|17144|0|2024-02-13|4|2023-01-06|2024-02|1|2024-C1
TRAPO DE PISO|0|1|4854|4854|0|2024-02-13|4|2023-01-06|2024-02|1|2024-C1
DESODORANTE AEROSOL|0|2|4690|9380|0|2024-02-13|4|2023-01-06|2024-02|1|2024-C1
YERBA MATE INTENSA 1KG|1|1|4883|4883|3|2024-01-13|1|2023-02-27|2024-01|1|2024-C1
CHOCOLATE AMARGO 100G|1|5|2234|11170|3|2024-01-13|1|2023-02-27|2024-01|1|2024-C1
CEPILLO DE DIENTES|0|3|2142|6426|0|2024-05-30|1|2023-03-02|2024-05|2|2024-C2
HELADO DE FRUTILLA 1L|1|2|1981|3962|0|2024-05-30|1|2023-03-02|2024-05|2|2024-C2
CALDO CONCENTRADO CARNE|1|5|2570|12850|0|2024-05-30|1|2023-03-02|2024-05|2|2024-C2
AZÚCAR 1KG|1|4|727|2908|1|2024-06-25|5|2023-01-05|2024-06|2|2024-C2
POROTOS NEGROS 500G|1|2|4462|8924|1|2024-06-25|5|2023-01-05|2024-06|2|2024-C2
QUESO RALLADO 150G|1|3|3444|10332|2|2024-05-17|1|2023-02-26|2024-05|2|2024-C2
STEVIA 100 SOBRES|1|5|3848|19240|1|2024-05-29|1|2023-02-25|2024-05|2|2024-C2
LECHE ENTERA 1L|1|3|1723|5169|1|2024-05-29|1|2023-02-25|2024-05|2|2024-C2
CERVEZA RUBIA 1L|1|5|2423|12115|1|2024-05-29|1|2023-02-25|2024-05|2|2024-C2
AGUA MINERAL 500ML|1|3|4777|14331|1|2024-05-29|1|2023-02-25|2024-05|2|2024-C2
ARROZ LARGO FINO 1KG|1|4|2979|11916|0|2024-03-05|5|2023-01-05|2024-03|1|2024-C1
MEDIALUNAS DE MANTECA|1|2|2069|4138|0|2024-03-05|5|2023-01-05|2024-03|1|2024-C1
CARAMELOS MASTICABLES|1|4|4752|19008|0|2024-03-05|5|2023-01-05|2024-03|1|2024-C1
ACEITUNAS VERDES 200G|1|4|2520|10080|0|2024-03-05|5|2023-01-05|2024-03|1|2024-C1
ARROZ LARGO FINO 1KG|1|2|2979|5958|0|2024-05-13|5|2023-01-15|2024-05|2|2024-C2
SAL FINA 500G|1|1|1745|1745|1|2024-03-08|3|2023-01-29|2024-03|1|2024-C1
LECHE DESCREMADA 1L|1|1|2538|2538|1|2024-03-08|3|2023-01-29|2024-03|1|2024-C1
GARBANZOS 500G|1|3|2939|8817|1|2024-04-18|3|2023-01-12|2024-04|1|2024-C1
PAPAS FRITAS ONDULADAS 100G|1|1|1868|1868|1|2024-04-18|3|2023-01-12|2024-04|1|2024-C1
GIN 700ML|1|3|1561|4683|1|2024-04-18|3|2023-01-12|2024-04|1|2024-C1
COCA COLA 1.5L|1|5|2347|11735|0|2024-02-18|1|2023-01-23|2024-02|1|2024-C1
HARINA DE TRIGO 1KG|1|2|2512|5024|0|2024-02-18|1|2023-01-23|2024-02|1|2024-C1
CERVEZA NEGRA 1L|1|2|1533|3066|0|2024-02-18|1|2023-01-23|2024-02|1|2024-C1
POROTOS NEGROS 500G|1|1|4462|4462|0|2024-02-21|3|2023-01-21|2024-02|1|2024-C1
GARBANZOS 500G|1|2|2939|5878|0|2024-02-21|3|2023-01-21|2024-02|1|2024-C1
TRAPO DE PISO|0|2|4854|9708|0|2024-02-21|3|2023-01-21|2024-02|1|2024-C1
TÉ NEGRO 20 SAQUITOS|1|2|570|1140|0|2024-01-19|5|2023-01-15|2024-01|1|2024-C1
QUESO RALLADO 150G|1|2|3444|6888|0|2024-01-19|5|2023-01-15|2024-01|1|2024-C1
SOPA INSTANTÁNEA POLLO|1|4|1679|6716|0|2024-01-19|5|2023-01-15|2024-01|1|2024-C1
DESENGRASANTE 500ML|0|1|2843|2843|0|2024-01-19|5|2023-01-15|2024-01|1|2024-C1
DETERGENTE LÍQUIDO 750ML|0|2|2582|5164|0|2024-01-19|5|2023-01-15|2024-01|1|2024-C1
PAN LACTAL INTEGRAL|1|1|272|272|1|2024-03-25|3|2023-02-15|2024-03|1|2024-C1
SALSA DE TOMATE 500G|1|5|887|4435|3|2024-05-04|1|2023-02-21|2024-05|2|2024-C2
JUGO DE NARANJA 1L|1|3|4170|12510|3|2024-05-04|1|2023-02-21|2024-05|2|2024-C2
FERNET 750ML|1|1|4061|4061|2|2024-01-26|5|2023-03-25|2024-01|1|2024-C1
JABÓN DE TOCADOR|0|5|1592|7960|2|2024-01-26|5|2023-03-25|2024-01|1|2024-C1
SERVILLETAS X100|0|4|4520|18080|2|2024-01-26|5|2023-03-25|2024-01|1|2024-C1
CHICLE MENTA|1|2|3612|7224|0|2024-06-02|5|2023-01-05|2024-06|2|2024-C2
PAN LACTAL INTEGRAL|1|4|272|1088|0|2024-06-02|5|2023-01-05|2024-06|2|2024-C2
CHICLE MENTA|1|4|3612|14448|0|2024-06-02|5|2023-01-05|2024-06|2|2024-C2
QUESO RALLADO 150G|1|3|3444|10332|0|2024-06-02|5|2023-01-05|2024-06|2|2024-C2
JUGO EN POLVO NARANJA|1|3|1856|5568|0|2024-06-02|5|2023-01-05|2024-06|2|2024-C2
YERBA MATE INTENSA 1KG|1|2|4883|9766|3|2024-01-09|0|2023-01-08|2024-01|1|2024-C1
TURRÓN 50G|1|5|503|2515|3|2024-01-09|0|2023-01-08|2024-01|1|2024-C1
CHOCOLATE AMARGO 100G|1|3|2234|6702|3|2024-01-09|0|2023-01-08|2024-01|1|2024-C1
DESODORANTE AEROSOL|0|4|4690|18760|3|2024-01-09|0|2023-01-08|2024-01|1|2024-C1
MIX DE FRUTOS SECOS 200G|1|1|3409|3409|0|2024-02-18|3|2023-02-08|2024-02|1|2024-C1
QUESO UNTABLE 190G|1|2|1830|3660|1|2024-05-10|5|2023-01-05|2024-05|2|2024-C2
YERBA MATE SUAVE 1KG|1|4|3878|15512|1|2024-05-10|5|2023-01-05|2024-05|2|2024-C2
ACEITUNAS VERDES 200G|1|5|2520|12600|1|2024-05-10|5|2023-01-05|2024-05|2|2024-C2
MERMELADA DE FRUTILLA 400G|1|3|1584|4752|1|2024-05-10|5|2023-01-05|2024-05|2|2024-C2
PAPAS FRITAS CLÁSICAS 100G|1|1|936|936|1|2024-01-25|1|2023-02-25|2024-01|1|2024-C1
CERVEZA RUBIA 1L|1|1|2423|2423|1|2024-03-26|0|2023-01-01|2024-03|1|2024-C1
QUESO RALLADO 150G|1|2|3444|6888|1|2024-03-26|0|2023-01-01|2024-03|1|2024-C1
DESODORANTE AEROSOL|0|3|4690|14070|1|2024-03-26|0|2023-01-01|2024-03|1|2024-C1
ENERGÉTICA NITRO 500ML|1|3|4218|12654|1|2024-03-26|0|2023-01-01|2024-03|1|2024-C1
HELADO VAINILLA 1L|1|4|469|1876|2|2024-01-04|5|2023-04-10|2024-01|1|2024-C1
QUESO RALLADO 150G|1|5|3444|17220|2|2024-06-14|5|2023-01-15|2024-06|2|2024-C2
MIX DE FRUTOS SECOS 200G|1|3|3409|10227|0|2024-01-10|4|2023-02-03|2024-01|1|2024-C1
ACEITE DE GIRASOL 1L|1|4|860|3440|0|2024-01-10|4|2023-02-03|2024-01|1|2024-C1
YERBA MATE SUAVE 1KG|1|5|3878|19390|0|2024-01-10|4|2023-02-03|2024-01|1|2024-C1
PIZZA CONGELADA MUZZARELLA|1|3|4286|12858|0|2024-01-10|4|2023-02-03|2024-01|1|2024-C1
DESENGRASANTE 500ML|0|4|2843|11372|0|2024-01-10|4|2023-02-03|2024-01|1|2024-C1
SALSA DE TOMATE 500G|1|2|887|1774|3|2024-02-04|5|2023-02-17|2024-02|1|2024-C1
CAFÉ MOLIDO 250G|1|1|2053|2053|3|2024-02-04|5|2023-02-17|2024-02|1|2024-C1
MIX DE FRUTOS SECOS 200G|1|1|3409|3409|1|2024-04-28|0|2023-03-03|2024-04|1|2024-C1
ENERGÉTICA NITRO 500ML|1|2|4218|8436|1|2024-04-28|0|2023-03-03|2024-04|1|2024-C1
LIMPIAVIDRIOS 500ML|0|5|872|4360|1|2024-04-28|0|2023-03-03|2024-04|1|2024-C1
SALSA DE TOMATE 500G|1|1|887|887|3|2024-04-04|0|2023-03-22|2024-04|1|2024-C1
DESENGRASANTE 500ML|0|3|2843|8529|3|2024-04-04|0|2023-03-22|2024-04|1|2024-C1
LECHE DESCREMADA 1L|1|1|2538|2538|3|2024-04-04|0|2023-03-22|2024-04|1|2024-C1
PAN LACTAL INTEGRAL|1|2|272|544|3|2024-04-04|0|2023-03-22|2024-04|1|2024-C1
DESODORANTE AEROSOL|0|4|4690|18760|3|2024-04-04|0|2023-03-22|2024-04|1|2024-C1
YERBA MATE SUAVE 1KG|1|3|3878|11634|0|2024-06-01|1|2023-01-27|2024-06|2|2024-C2
MANTECA 200G|1|3|3251|9753|0|2024-06-01|1|2023-01-27|2024-06|2|2024-C2
GARBANZOS 500G|1|4|2939|11756|3|2024-05-01|5|2023-04-10|2024-05|2|2024-C2
MASCARILLA CAPILAR|0|3|1581|4743|3|2024-05-01|5|2023-04-10|2024-05|2|2024-C2
PEPSI 1.5L|1|2|4973|9946|1|2024-06-19|1|2023-01-25|2024-06|2|2024-C2
FERNET 750ML|1|3|4061|12183|1|2024-06-19|1|2023-01-25|2024-06|2|2024-C2
FIDEOS SPAGHETTI 500G|1|4|745|2980|1|2024-06-19|1|2023-01-25|2024-06|2|2024-C2
FANTA NARANJA 1.5L|1|2|2033|4066|2|2024-03-07|1|2023-02-27|2024-03|1|2024-C1
ACEITE DE GIRASOL 1L|1|2|860|1720|2|2024-03-07|1|2023-02-27|2024-03|1|2024-C1
EMPANADAS CONGELADAS|1|4|4778|19112|2|2024-04-30|3|2023-01-30|2024-04|1|2024-C1
MEDIALUNAS DE MANTECA|1|3|2069|6207|2|2024-04-30|3|2023-01-30|2024-04|1|2024-C1
MERMELADA DE FRUTILLA 400G|1|5|1584|7920|2|2024-04-30|3|2023-01-30|2024-04|1|2024-C1
DULCE DE LECHE 400G|1|4|2559|10236|2|2024-04-30|3|2023-01-30|2024-04|1|2024-C1
YOGUR NATURAL 200G|1|3|4613|13839|2|2024-03-14|1|2023-03-10|2024-03|1|2024-C1
LAVANDINA 1L|0|1|1664|1664|0|2024-03-21|4|2023-03-07|2024-03|1|2024-C1
ENERGÉTICA NITRO 500ML|1|2|4218|8436|0|2024-03-21|4|2023-03-07|2024-03|1|2024-C1
HILO DENTAL|0|4|1418|5672|2|2024-06-28|1|2023-01-27|2024-06|2|2024-C2
PIZZA CONGELADA MUZZARELLA|1|4|4286|17144|2|2024-01-06|3|2023-02-11|2024-01|1|2024-C1
WHISKY 750ML|1|3|2953|8859|2|2024-01-06|3|2023-02-11|2024-01|1|2024-C1
CERVEZA NEGRA 1L|1|3|1533|4599|3|2024-02-02|3|2023-02-10|2024-02|1|2024-C1
CALDO CONCENTRADO VERDURA|1|4|1003|4012|3|2024-02-02|3|2023-02-10|2024-02|1|2024-C1
MERMELADA DE FRUTILLA 400G|1|3|1584|4752|3|2024-02-02|3|2023-02-10|2024-02|1|2024-C1
CAFÉ MOLIDO 250G|1|3|2053|6159|2|2024-06-02|1|2023-02-09|2024-06|2|2024-C2
HAMBURGUESAS CONGELADAS X4|1|4|2420|9680|2|2024-06-02|1|2023-02-09|2024-06|2|2024-C2
TRAPO DE PISO|0|4|4854|19416|2|2024-06-02|1|2023-02-09|2024-06|2|2024-C2
CREMA DENTAL 90G|0|1|2512|2512|2|2024-06-02|1|2023-02-09|2024-06|2|2024-C2
HILO DENTAL|0|3|1418|4254|2|2024-02-17|3|2023-01-26|2024-02|1|2024-C1
ACEITE DE GIRASOL 1L|1|4|860|3440|2|2024-02-17|3|2023-01-26|2024-02|1|2024-C1
SAL FINA 500G|1|2|1745|3490|2|2024-02-17|3|2023-01-26|2024-02|1|2024-C1
PAPAS FRITAS CLÁSICAS 100G|1|1|936|936|3|2024-05-16|3|2023-02-11|2024-05|2|2024-C2
GALLETITAS CHOCOLATE|1|3|1305|3915|3|2024-05-16|3|2023-02-11|2024-05|2|2024-C2
MANTECA 200G|1|1|3251|3251|3|2024-05-16|3|2023-02-11|2024-05|2|2024-C2
CHOCOLATE AMARGO 100G|1|3|2234|6702|0|2024-04-26|1|2023-02-25|2024-04|1|2024-C1
LECHE ENTERA 1L|1|2|1723|3446|0|2024-04-26|1|2023-02-25|2024-04|1|2024-C1
SHAMPOO 400ML|0|2|1407|2814|0|2024-04-26|1|2023-02-25|2024-04|1|2024-C1
SPRITE 1.5L|1|4|4964|19856|2|2024-05-23|1|2023-03-02|2024-05|2|2024-C2
MEDIALUNAS DE MANTECA|1|4|2069|8276|1|2024-05-15|1|2023-03-16|2024-05|2|2024-C2
BIZCOCHOS SALADOS|1|4|2380|9520|1|2024-05-15|1|2023-03-16|2024-05|2|2024-C2
GALLETITAS CHOCOLATE|1|1|1305|1305|1|2024-05-15|1|2023-03-16|2024-05|2|2024-C2
CAFÉ MOLIDO 250G|1|2|2053|4106|1|2024-05-15|1|2023-03-16|2024-05|2|2024-C2
LAVANDINA 1L|0|2|1664|3328|1|2024-05-26|2|2023-02-24|2024-05|2|2024-C2
ACEITE DE GIRASOL 1L|1|1|860|860|1|2024-05-26|2|2023-02-24|2024-05|2|2024-C2
TURRÓN 50G|1|5|503|2515|1|2024-05-26|2|2023-02-24|2024-05|2|2024-C2
DESENGRASANTE 500ML|0|2|2843|5686|1|2024-05-26|2|2023-02-24|2024-05|2|2024-C2
HELADO VAINILLA 1L|1|2|469|938|1|2024-05-26|2|2023-02-24|2024-05|2|2024-C2
MERMELADA DE DURAZNO 400G|1|3|3196|9588|2|2024-04-29|3|2023-01-12|2024-04|1|2024-C1
HAMBURGUESAS CONGELADAS X4|1|5|2420|12100|2|2024-04-29|3|2023-01-12|2024-04|1|2024-C1
QUESO CREMOSO 500G|1|2|4834|9668|2|2024-04-29|3|2023-01-12|2024-04|1|2024-C1
JUGO EN POLVO NARANJA|1|1|1856|1856|2|2024-04-29|3|2023-01-12|2024-04|1|2024-C1
HELADO VAINILLA 1L|1|2|469|938|2|2024-04-29|3|2023-01-12|2024-04|1|2024-C1
ACEITUNAS VERDES 200G|1|2|2520|5040|2|2024-06-06|1|2023-02-26|2024-06|2|2024-C2
PAPEL HIGIÉNICO X4|0|2|2532|5064|2|2024-06-06|1|2023-02-26|2024-06|2|2024-C2
HELADO VAINILLA 1L|1|5|469|2345|0|2024-03-25|3|2023-02-23|2024-03|1|2024-C1
MANÍ SALADO 200G|1|3|4875|14625|0|2024-03-25|3|2023-02-23|2024-03|1|2024-C1
ACEITE DE GIRASOL 1L|1|5|860|4300|0|2024-03-25|3|2023-02-23|2024-03|1|2024-C1
YERBA MATE INTENSA 1KG|1|2|4883|9766|3|2024-03-09|1|2023-02-18|2024-03|1|2024-C1
MERMELADA DE FRUTILLA 400G|1|1|1584|1584|1|2024-01-25|2|2023-01-19|2024-01|1|2024-C1
PAPAS FRITAS CLÁSICAS 100G|1|2|936|1872|1|2024-01-25|2|2023-01-19|2024-01|1|2024-C1
PAPAS FRITAS ONDULADAS 100G|1|5|1868|9340|1|2024-01-25|2|2023-01-19|2024-01|1|2024-C1
ACEITUNAS NEGRAS 200G|1|2|2394|4788|1|2024-01-25|2|2023-01-19|2024-01|1|2024-C1
AGUA MINERAL 500ML|1|2|4777|9554|0|2024-05-28|2|2023-04-01|2024-05|2|2024-C2
ALFAJOR TRIPLE|1|2|1001|2002|0|2024-05-28|2|2023-04-01|2024-05|2|2024-C2
GIN 700ML|1|5|1561|7805|0|2024-05-28|2|2023-04-01|2024-05|2|2024-C2
SAL FINA 500G|1|2|1745|3490|0|2024-05-28|2|2023-04-01|2024-05|2|2024-C2
QUESO UNTABLE 190G|1|5|1830|9150|0|2024-01-02|5|2023-03-13|2024-01|1|2024-C1
PIZZA CONGELADA MUZZARELLA|1|4|4286|17144|0|2024-01-02|5|2023-03-13|2024-01|1|2024-C1
CHOCOLATE AMARGO 100G|1|4|2234|8936|3|2024-01-23|3|2023-02-11|2024-01|1|2024-C1
HELADO DE FRUTILLA 1L|1|2|1981|3962|3|2024-01-23|3|2023-02-11|2024-01|1|2024-C1
CERVEZA NEGRA 1L|1|2|1533|3066|0|2024-01-10|1|2023-02-09|2024-01|1|2024-C1
COCA COLA 1.5L|1|4|2347|9388|0|2024-01-10|1|2023-02-09|2024-01|1|2024-C1
TÉ VERDE 20 SAQUITOS|1|5|2383|11915|0|2024-01-10|1|2023-02-09|2024-01|1|2024-C1
ACEITE DE GIRASOL 1L|1|3|860|2580|0|2024-01-10|1|2023-02-09|2024-01|1|2024-C1
LAVANDINA 1L|0|2|1664|3328|2|2024-04-20|5|2023-04-10|2024-04|1|2024-C1
JUGO EN POLVO LIMÓN|1|2|4090|8180|2|2024-04-20|5|2023-04-10|2024-04|1|2024-C1
JUGO DE MANZANA 1L|1|5|3269|16345|0|2024-06-21|2|2023-02-06|2024-06|2|2024-C2
LAVANDINA 1L|0|5|1664|8320|0|2024-06-21|2|2023-02-06|2024-06|2|2024-C2
ENERGÉTICA NITRO 500ML|1|4|4218|16872|0|2024-06-21|2|2023-02-06|2024-06|2|2024-C2
RON 700ML|1|2|3876|7752|1|2024-01-18|4|2023-01-17|2024-01|1|2024-C1
HAMBURGUESAS CONGELADAS X4|1|4|2420|9680|2|2024-01-08|3|2023-02-15|2024-01|1|2024-C1
JUGO DE NARANJA 1L|1|2|4170|8340|2|2024-01-08|3|2023-02-15|2024-01|1|2024-C1
